"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Use of artificial intelligence by businesses and organizations in producing goods or delivering services over the last 12 months, second quarter of 2025","33101004",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310100401",1;2;3,"CURRENT - a cube available to the public and that is current","Occasional","2025-01-01","2025-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Business characteristics",,""
"3","Use of artificial intelligence (AI) by businesses or organizations in producing goods or delivering services over the last 12 months",8,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"2","Ownership by visible minority, preferred not to say","","56","44","",,
"2","Ownership by visible minority, South Asian","","45","44","",,
"2","Ownership by visible minority, Chinese","","46","44","",,
"2","Ownership by visible minority, Black","","47","44","",,
"2","Ownership by visible minority, Filipino","","48","44","",,
"2","Ownership by visible minority, Latin American","","49","44","",,
"2","Ownership by visible minority, Arab","","50","44","",,
"2","Ownership by visible minority, Southeast Asian","","51","44","",,
"2","Ownership by visible minority, West Asian","","52","44","",,
"2","Exported goods outside of Canada","","58","57","",,
"2","Exported services outside of Canada","","59","57","",,
"2","Made investments outside of Canada","","60","57","",,
"2","Sold goods to businesses in Canada who then resold them outside of Canada","","61","57","",,
"2","Imported goods from outside of Canada","","62","57","",,
"2","Imported services from outside of Canada","","63","57","",,
"2","Relocated any business or organizational activities or employees from another country into Canada","","64","57","",,
"2","Relocated any business or organizational activities or employees from Canada to another country","","65","57","",,
"2","Engaged in other international business activities","","66","57","",,
"2","Business or organization activity, none or other","","67","57","",,
"2","Business or organization activity in the last 12 months, all business or organization activities","","57","","",,
"2","North American Industry Classification System (NAICS), all industries","","1","","",,
"2","Business or organization size of employment, all employment sizes","","18","","",4,
"2","Business or organization type, all businesses or organizations","","23","","",,
"2","Age of business or organization, all ages","","29","","",,
"2","Geography, all geography","","34","","",,
"2","Majority ownership, all ownerships","","37","","",5,
"2","Ownership by visible minority, all visible minorities","","44","","",7,
"3","Yes, business used AI for producing goods or delivering services over the last 12 months","","1","","",,
"3","Type of AI application used, machine learning","","2","","",,
"3","Type of AI application used, natural language processing","","3","","",,
"3","Type of AI application used, virtual agents or chat bots","","4","","",,
"3","Type of AI application used, speech or voice recognition using AI","","5","","",,
"3","Type of AI application used, recommendation systems using AI","","6","","",,
"3","Type of AI application used, large language models","","7","","",,
"3","Type of AI application used, text analytics using AI","","8","","",,
"3","Type of AI application used, data analytics using AI","","9","","",,
"3","Type of AI application used, neural network","","10","","",,
"3","Type of AI application used, augmented reality","","11","","",,
"3","Type of AI application used, decision making systems based on AI","","12","","",,
"3","Type of AI application used, deep learning","","13","","",,
"3","Type of AI application used, image or pattern recognition","","14","","",,
"3","Type of AI application used, machine or computer vision","","15","","",,
"3","Type of AI application used, robotics process automation","","16","","",,
"3","Type of AI application used, biometrics","","17","","",,
"3","Type of AI application used, marketing automation using AI","","18","","",,
"3","Type of AI application used, other type","","19","","",,
"3","No, business or organization did not use AI for producing goods or delivering services over the last 12 months","","20","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"5318","Canadian Survey on Business Conditions"

"Subject Code","Subject Name"
"33","Business performance and ownership"

"Note ID",Note
1,"Source: Statistics Canada, Canadian Survey on Business Conditions, second quarter of 2025."
2,"Estimates are subject to sampling error. This error can be expressed as a standard error. All estimates contained in this table have been assigned a letter value to indicate the quality of the estimate, as measured by the standard error (expressed as a percentage). A = Excellent (0.00% to less than 2.50%), B = Very good (2.50% to less than 5.00%), C = Good (5.00% to less than 7.50%), D = Acceptable (7.50% to less than 10.00%), E = Use with caution (10.00% to less than 15.00%), F = Too unreliable to be published (Greater than or equal to 15%, data are suppressed)."
3,"Figures may not add to 100% due to rounding."
4,"This includes all employees who would receive a Statement of Remuneration Paid (T4). Excluded from number of employees are business owners, contract workers and other personnel who would not receive a T4."
5,"Majority ownership is defined at 51% or more. Majority-ownership was self-reported for private sector businesses only. Majority owners can be counted in more than one ownership category."
6,"The term LGBTQ2 refers to persons who identify as lesbian, gay, bisexual, transgender, queer and/or two-spirited."
7,"Respondents were asked if the business or organization identified as being majority owned (51% or more) by any visible minority. If so, the business or organization was asked to identify all visible minority types that made up majority ownership. Figures may not represent majority ownership by a specific visible minority."
8,"The results in this table are based on the survey that was in collection from April 1 to May 5, 2025, and respondents were asked what the business or organization experienced in the last 12-month period. As a result, those 12 months could range from April 1, 2024 to May 5, 2025, depending on when the business responded."

"Correction ID","Correction Date","Correction Note"
